co_categoria_subcategoria,co_agrupamento,co_categoria_pai,no_categoria_subcategoria,st_cruz,st_asterisco,co_categ_subcateg_sp,st_registro_ativo,dt_inclusao,dt_atualizacao
A16.3,2,A16,"Tuberculose dos ganglios intratoracicos, sem mencao de confirmacao bacteriologica ou histologica",-,-,A163,S,-,-
A16.4,2,A16,"Tuberculose da laringe, da traqueia e dos bronquios, sem mencao de confirmacao bacteriologica ou histologica",-,-,A164,S,-,-
A16.5,2,A16,"Pleurisia tuberculosa, sem mencao de confirmacao bacteriologica ou histologica",-,-,A165,S,-,-
A16.7,2,A16,Tuberculosa respiratoria primaria sem mencao de confirmacao bacteriologica ou histologica,-,-,A167,S,-,-
A16.8,2,A16,"Outras formas de tuberculose das vias respiratorias, sem mencao de confirmacao bacteriologica ou histologica",-,-,A168,S,-,-
A16.9,2,A16,"Tuberculose respiratoria, nao especificada, sem mencao de confirmacao bacteriologica ou histologica",-,-,A169,S,-,-
A17,2,A17,Tuberculose do sistema nervoso,+,-,A17,S,-,-
A17.0,2,A17,Meningite tuberculosa (G01*),+,-,A170,S,-,-
A17.1,2,A17,Tuberculoma meningeo (G07*),+,-,A171,S,-,-
A17.8,2,A17,Outras tuberculoses do sistema nervoso,+,-,A178,S,-,-
A17.9,2,A17,Tuberculose nao especificada do sistema nervoso (G99.8*),+,-,A179,S,-,-
A18,2,A18,Tuberculose de outros orgaos,-,-,A18,S,-,-
A18.0,2,A18,Tuberculose ossea e das articulacoes,+,-,A180,S,-,-
A18.1,2,A18,Tuberculose do aparelho geniturinario,-,-,A181,S,-,-
A18.2,2,A18,Linfadenopatia tuberculosa periferica,-,-,A182,S,-,-
A18.3,2,A18,"Tuberculose do intestino, do peritonio e dos ganglios mesentericos",-,-,A183,S,-,-
A18.4,2,A18,Tuberculose de pele e do tecido celular subcutaneo,-,-,A184,S,-,-
A18.5,2,A18,Tuberculose do olho,+,-,A185,S,-,-
A18.6,2,A18,Tuberculose do ouvido,+,-,A186,S,-,-
A18.7,2,A18,Tuberculose das supra-renais (E35.1*),+,-,A187,S,-,-
A18.8,2,A18,Tuberculose de outros orgaos especificados,+,-,A188,S,-,-
A19,2,A19,Tuberculose miliar,-,-,A19,S,-,-
A19.0,2,A19,Tuberculose miliar aguda de localizacao unica e especificada,-,-,A190,S,-,-
A19.1,2,A19,Tuberculose miliar aguda de multiplas localizacoes,-,-,A191,S,-,-
A19.2,2,A19,Tuberculose miliar aguda nao especificada,-,-,A192,S,-,-
A19.8,2,A19,Outras tuberculoses miliares,-,-,A198,S,-,-
A19.9,2,A19,Tuberculose miliar nao especificada,-,-,A199,S,-,-
A20,3,A20,Peste,-,-,A20,S,-,-
A20.0,3,A20,Peste bubonica,-,-,A200,S,-,-
A20.1,3,A20,Peste celulocutanea,-,-,A201,S,-,-
A20.2,3,A20,Peste pneumonica,-,-,A202,S,-,-
A20.3,3,A20,Peste meningea,-,-,A203,S,-,-
A20.7,3,A20,Peste septicemica,-,-,A207,S,-,-
A20.8,3,A20,Outras formas de peste,-,-,A208,S,-,-
A20.9,3,A20,"Peste, forma nao especificada",-,-,A209,S,-,-
A21,3,A21,Tularemia,-,-,A21,S,-,-
A21.0,3,A21,Tularemia ulceroglandular,-,-,A210,S,-,-
A21.1,3,A21,Tularemia oculoglandular,-,-,A211,S,-,-
A21.2,3,A21,Tularemia pulmonar,-,-,A212,S,-,-
A21.3,3,A21,Tularemia gastrointestinal,-,-,A213,S,-,-
A21.7,3,A21,Tularemia generalizada,-,-,A217,S,-,-
A21.8,3,A21,Outras formas de tularemia,-,-,A218,S,-,-
A21.9,3,A21,"Tularemia, forma nao especificada",-,-,A219,S,-,-
A22,3,A22,Carbunculo,-,-,A22,S,-,-
A22.0,3,A22,Carbunculo cutaneo,-,-,A220,S,-,-
A22.1,3,A22,Carbunculo pulmonar,-,-,A221,S,-,-
A22.2,3,A22,Carbunculo gastrointestinal,-,-,A222,S,-,-
A22.7,3,A22,Sepse carbunculosa,-,-,A227,S,-,-
A22.8,3,A22,Outras formas de carbunculo,-,-,A228,S,-,-
A22.9,3,A22,"Carbunculo, forma nao especificada",-,-,A229,S,-,-
A23,3,A23,Brucelose,-,-,A23,S,-,-
A23.0,3,A23,Brucelose por Brucella melitensis,-,-,A230,S,-,-
A23.1,3,A23,Brucelose por Brucella abortus,-,-,A231,S,-,-
A23.2,3,A23,Brucelose por Brucella suis,-,-,A232,S,-,-
A23.3,3,A23,Brucelose por Brucella canis,-,-,A233,S,-,-
A23.8,3,A23,Outras bruceloses,-,-,A238,S,-,-
A23.9,3,A23,Brucelose nao especificada,-,-,A239,S,-,-
A24,3,A24,Mormo e melioidose,-,-,A24,S,-,-
A24.0,3,A24,Mormo,-,-,A240,S,-,-
A24.1,3,A24,Melioidose aguda e fulminante,-,-,A241,S,-,-
A24.2,3,A24,Melioidose subaguda e cronica,-,-,A242,S,-,-
A24.3,3,A24,Outras melioidoses,-,-,A243,S,-,-
A24.4,3,A24,Melioidose nao especificada,-,-,A244,S,-,-
A25,3,A25,Febres transmitidas por mordedura de rato,-,-,A25,S,-,-
A25.0,3,A25,Espirilose,-,-,A250,S,-,-
A25.1,3,A25,Estreptobacilose,-,-,A251,S,-,-
A25.9,3,A25,"Febre transmitida por mordedura de rato, tipo nao especificado",-,-,A259,S,-,-
A26,3,A26,Erisipeloide,-,-,A26,S,-,-
A26.0,3,A26,Erisipeloide cutaneo,-,-,A260,S,-,-
A26.7,3,A26,Sepse por Erysipelothrix,-,-,A267,S,-,-
A26.8,3,A26,Outras formas de erisipeloide,-,-,A268,S,-,-
A26.9,3,A26,Erisipeloide nao especificado,-,-,A269,S,-,-
A27,3,A27,Leptospirose,-,-,A27,S,-,-
A27.0,3,A27,Leptopirose icterohemorragica,-,-,A270,S,-,-
A27.8,3,A27,Outras formas de leptospirose,-,-,A278,S,-,-
A27.9,3,A27,Leptospirose nao especificada,-,-,A279,S,-,-
A28,3,A28,Outras doencas bacterianas zoonoticas nao classificadas em outra parte,-,-,A28,S,-,-
A28.0,3,A28,Pasteurelose,-,-,A280,S,-,-
A28.1,3,A28,Doenca por arranhadura do gato,-,-,A281,S,-,-
A28.2,3,A28,Yersiniose extra-intestinal,-,-,A282,S,-,-
A28.8,3,A28,Outras doencas bacterianas zoonoticas especificadas nao classificadas em outra parte,-,-,A288,S,-,-
A28.9,3,A28,Doenca bacteriana zoonotica nao especificada,-,-,A289,S,-,-
A30,4,A30,Hanseniase [doenca de Hansen] [lepra],-,-,A30,S,-,-
A30.0,4,A30,Hanseniase [lepra] indeterminada,-,-,A300,S,-,-
A30.1,4,A30,Hanseniase [lepra] tuberculoide,-,-,A301,S,-,-
A30.2,4,A30,Hanseniase [lepra] tuberculoide borderline,-,-,A302,S,-,-
A30.3,4,A30,Hanseniase [lepra] dimorfa,-,-,A303,S,-,-
A30.4,4,A30,Hanseniase [lepra] lepromatosa borderline,-,-,A304,S,-,-
A30.5,4,A30,Hanseniase [lepra] lepromatosa,-,-,A305,S,-,-
A30.8,4,A30,Outras formas de hanseniase [lepra],-,-,A308,S,-,-
A30.9,4,A30,Hanseniase [lepra] nao especificada,-,-,A309,S,-,-
A31,4,A31,Infeccoes devidas a outras micobacterias,-,-,A31,S,-,-
A31.0,4,A31,Infeccao pulmonar micobacteriana,-,-,A310,S,-,-
A31.1,4,A31,Infeccao cutanea micobacteriana,-,-,A311,S,-,-
A31.8,4,A31,Outras infeccoes micobacterianas,-,-,A318,S,-,-
A31.9,4,A31,Infeccao micobacteriana nao especificada,-,-,A319,S,-,-
A32,4,A32,Listeriose [listeriase],-,-,A32,S,-,-
A32.0,4,A32,Listeriose cutanea,-,-,A320,S,-,-
A32.1,4,A32,Meningite e meningoencefalite por listeria,+,-,A321,S,-,-
A32.7,4,A32,Sepse listeriotica,-,-,A327,S,-,-
A32.8,4,A32,Outras formas de listeriose,-,-,A328,S,-,-
A32.9,4,A32,Listeriose nao especificada,-,-,A329,S,-,-
A33,4,A33,Tetano do recem-nascido [neonatal],-,-,A33,S,-,-
A34,4,A34,Tetano obstetrico,-,-,A34,S,-,-
A35,4,A35,Outros tipos de tetano,-,-,A35,S,-,-
A36,4,A36,Difteria,-,-,A36,S,-,-
A36.0,4,A36,Difteria faringea,-,-,A360,S,-,-
A36.1,4,A36,Difteria nasofaringea,-,-,A361,S,-,-
A36.2,4,A36,Difteria laringea,-,-,A362,S,-,-
A36.3,4,A36,Difteria cutanea,-,-,A363,S,-,-
A36.8,4,A36,Outras formas de difteria,-,-,A368,S,-,-
A36.9,4,A36,Difteria nao especificada,-,-,A369,S,-,-
A37,4,A37,Coqueluche,-,-,A37,S,-,-
A37.0,4,A37,Coqueluche por Bordetella pertussis,-,-,A370,S,-,-
A37.1,4,A37,Coqueluche por Bordetella parapertussis,-,-,A371,S,-,-
A37.8,4,A37,Coqueluche por outras especies da Bordetella,-,-,A378,S,-,-
A37.9,4,A37,Coqueluche nao especificada,-,-,A379,S,-,-
A38,4,A38,Escarlatina,-,-,A38,S,-,-
A39,4,A39,Infeccao meningogocica,-,-,A39,S,-,-
A39.0,4,A39,Meningite meningococica (G01*),+,-,A390,S,-,-
A39.1,4,A39,Sindrome de Waterhouse-Friderichsen (E35.1*),+,-,A391,S,-,-
A39.2,4,A39,Meningococcemia aguda,-,-,A392,S,-,-
A39.3,4,A39,Meningococcemia cronica,-,-,A393,S,-,-
A39.4,4,A39,Meningococcemia nao especificada,-,-,A394,S,-,-
A39.5,4,A39,Cardite por meningococos,+,-,A395,S,-,-
A39.8,4,A39,Outras infeccoes por meningococos,-,-,A398,S,-,-
A39.9,4,A39,Infeccao meningococica nao especificada,-,-,A399,S,-,-
A40,4,A40,Sepse estreptococica,-,-,A40,S,-,-
A40.0,4,A40,Sepse por Streptococcus do grupo A,-,-,A400,S,-,-
A40.1,4,A40,Sepse por Streptococcus do grupo B,-,-,A401,S,-,-
A40.2,4,A40,Sepse por Streptococcus do grupo D e por enterococos,-,-,A402,S,-,-
A40.3,4,A40,Sepse por Streptococcus pneumonia,-,-,A403,S,-,-
A40.8,4,A40,Outras sepses estreptococicas,-,-,A408,S,-,-
A40.9,4,A40,Sepse estreptococica nao especificada,-,-,A409,S,-,-
A41,4,A41,Outras sepses,-,-,A41,S,-,-
A41.0,4,A41,Sepse por Staphylococcus aureus,-,-,A410,S,-,-
A41.1,4,A41,Sepse por outros estafilococos especificados,-,-,A411,S,-,-
A41.2,4,A41,Sepse por estafilococos nao especificados,-,-,A412,S,-,-
A41.3,4,A41,Sepse por Haemophilus influenzae,-,-,A413,S,-,-
A41.4,4,A41,Sepse por anaerobios,-,-,A414,S,-,-
A41.5,4,A41,Sepse por outros microorganismos gram-negativos,-,-,A415,S,-,-
A41.8,4,A41,Outras sepses especificadas,-,-,A418,S,-,-
A41.9,4,A41,Sepse nao especificada,-,-,A419,S,-,-
A42,4,A42,Actinomicose,-,-,A42,S,-,-
A42.0,4,A42,Actinomicose pulmonar,-,-,A420,S,-,-
A42.1,4,A42,Actinomicose abdominal,-,-,A421,S,-,-
A42.2,4,A42,Actinomicose cervicofacial,-,-,A422,S,-,-
A42.7,4,A42,Sepse actinomicotica,-,-,A427,S,-,-
A42.8,4,A42,Outras formas de actinomicose,-,-,A428,S,-,-
A42.9,4,A42,Actinomicose nao especificada,-,-,A429,S,-,-
A43,4,A43,Nocardiose,-,-,A43,S,-,-
A43.0,4,A43,Nocardiose pulmonar,-,-,A430,S,-,-
A43.1,4,A43,Nocardiose cutanea,-,-,A431,S,-,-
A43.8,4,A43,Outras formas de nocardiose,-,-,A438,S,-,-
A43.9,4,A43,Nocardiose nao especificada,-,-,A439,S,-,-
A44,4,A44,Bartonelose,-,-,A44,S,-,-
A44.0,4,A44,Bartonelose sistemica,-,-,A440,S,-,-
A44.1,4,A44,Bartonelose cutanea e cutaneo-mucosa,-,-,A441,S,-,-
A44.8,4,A44,Outras formas de bartonelose,-,-,A448,S,-,-
A44.9,4,A44,Bartonelose nao especificada,-,-,A449,S,-,-
A46,4,A46,Erisipela,-,-,A46,S,-,-
A48,4,A48,Outras doencas bacterianas nao classificadas em outra parte,-,-,A48,S,-,-
A48.0,4,A48,Gangrena gasosa,-,-,A480,S,-,-
A48.1,4,A48,Doenca dos legionarios,-,-,A481,S,-,-
A48.2,4,A48,Doenca dos legionarios nao-pneumonica [febre de Pontiac],-,-,A482,S,-,-
A48.3,4,A48,Sindrome do choque toxico,-,-,A483,S,-,-
A48.4,4,A48,Febre purpurica do Brasil,-,-,A484,S,-,-
A48.8,4,A48,Outras doencas bacterianas especificadas,-,-,A488,S,-,-
A49,4,A49,Infeccao bacteriana de local nao especificado,-,-,A49,S,-,-
A49.0,4,A49,Infeccao estafilococica nao especificada,-,-,A490,S,-,-
A49.1,4,A49,Infeccao estreptococica e enterococica de localizacao nao especificada,-,-,A491,S,-,-
A49.2,4,A49,Infeccao por Haemophilus influenzae nao especificada,-,-,A492,S,-,-
A49.3,4,A49,Infeccao por Mycoplasma nao especificada,-,-,A493,S,-,-
A49.8,4,A49,Outras infeccoes bacterianas de localizacao nao especificada,-,-,A498,S,-,-
A49.9,4,A49,Infeccao bacteriana nao especificada,-,-,A499,S,-,-
A50,5,A50,Sifilis congenita,-,-,A50,S,-,-
A50.0,5,A50,Sifilis congenita precoce sintomatica,-,-,A500,S,-,-
A50.1,5,A50,"Sifilis congenita precoce, forma latente",-,-,A501,S,-,-
A50.2,5,A50,Sifilis congenita precoce nao especificada,-,-,A502,S,-,-
A50.3,5,A50,Oculopatia sifilitica congenita tardia,-,-,A503,S,-,-
A50.4,5,A50,Neurossifilis congenita tardia [neurossifilis juvenil],-,-,A504,S,-,-
A50.5,5,A50,Outras formas tardias e sintomaticas da sifilis congenita,-,-,A505,S,-,-
A50.6,5,A50,Sifilis congenita tardia latente,-,-,A506,S,-,-
A50.7,5,A50,Sifilis congenita tardia nao especificada,-,-,A507,S,-,-
A50.9,5,A50,Sifilis congenita nao especificada,-,-,A509,S,-,-
A51,5,A51,Sifilis precoce,-,-,A51,S,-,-
A51.0,5,A51,Sifilis genital primaria,-,-,A510,S,-,-
A51.1,5,A51,Sifilis anal primaria,-,-,A511,S,-,-
A51.2,5,A51,Sifilis primaria de outras localizacoes,-,-,A512,S,-,-
A51.3,5,A51,Sifilis secundaria da pele e das mucosas,-,-,A513,S,-,-
A51.4,5,A51,Outras formas de sifilis secundaria,-,-,A514,S,-,-
A51.5,5,A51,Sifilis precoce latente,-,-,A515,S,-,-
A51.9,5,A51,Sifilis precoce nao especificada,-,-,A519,S,-,-
A52,5,A52,Sifilis tardia,-,-,A52,S,-,-
A52.0,5,A52,Sifilis cardiovascular,+,-,A520,S,-,-
A52.1,5,A52,Neurossifilis sintomatica,-,-,A521,S,-,-
A52.2,5,A52,Neurossifilis assintomatica,-,-,A522,S,-,-
A52.3,5,A52,Neurossifilis nao especificada,-,-,A523,S,-,-
A52.7,5,A52,Outras formas de sifilis tardia sintomatica,-,-,A527,S,-,-
A52.8,5,A52,Sifilis tardia latente,-,-,A528,S,-,-
A52.9,5,A52,Sifilis tardia nao especificada,-,-,A529,S,-,-
A53,5,A53,Outras formas e as nao especificadas da sifilis,-,-,A53,S,-,-
A53.0,5,A53,"Sifilis latente, nao especificada se recente ou tardia",-,-,A530,S,-,-
A53.9,5,A53,Sifilis nao especificada,-,-,A539,S,-,-
A54,5,A54,Infeccao gonococica,-,-,A54,S,-,-
A54.0,5,A54,"Infeccao gonococica do trato geniturinario inferior, sem abscesso periuretral ou das glandulas acessorias",-,-,A540,S,-,-
A54.1,5,A54,"Infeccao gonococica do trato geniturinario inferior, com abscesso periuretral ou das glandulas acessorias",-,-,A541,S,-,-
A54.2,5,A54,Pelviperitonite gonococica e outras infeccoes geniturinarias gonococicas,+,-,A542,S,-,-
A54.3,5,A54,Infeccao gonococica do olho,-,-,A543,S,-,-
A54.4,5,A54,Infeccao gonococica do sistema musculo-esqueletico,+,-,A544,S,-,-
A54.5,5,A54,Faringite gonococica,-,-,A545,S,-,-
A54.6,5,A54,Infeccao gonococica do anus ou do reto,-,-,A546,S,-,-
A54.8,5,A54,Outras infeccoes gonococicas,-,-,A548,S,-,-
A54.9,5,A54,Infeccao gonococica nao especificada,-,-,A549,S,-,-
A55,5,A55,Linfogranuloma (venereo) por clamidia,-,-,A55,S,-,-
A56,5,A56,Outras infeccoes causadas por clamidias transmitidas por via sexual,-,-,A56,S,-,-
A56.0,5,A56,Infeccoes por clamidias do trato geniturinario inferior,-,-,A560,S,-,-
A56.1,5,A56,"Infeccao por clamidias, pelviperitonial e de outros orgaos geniturinarios",+,-,A561,S,-,-
A56.2,5,A56,"Infeccao por clamidias do trato geniturinario, localizacao nao especificada",-,-,A562,S,-,-
A56.3,5,A56,Infeccao do anus e do reto por clamidias,-,-,A563,S,-,-
A56.4,5,A56,Infeccao da faringe por clamidias,-,-,A564,S,-,-
A56.8,5,A56,"Infeccao por clamidias transmitida por via sexual, de outras localizacoes",-,-,A568,S,-,-
A57,5,A57,Cancro mole,-,-,A57,S,-,-
A58,5,A58,Granuloma inguinal,-,-,A58,S,-,-
A59,5,A59,Tricomoniase,-,-,A59,S,-,-
A59.0,5,A59,Tricomoniase urogenital,-,-,A590,S,-,-
A59.8,5,A59,Outras localizacoes de tricomoniase,-,-,A598,S,-,-
A59.9,5,A59,Tricomoniase nao especificada,-,-,A599,S,-,-
A60,5,A60,Infeccoes anogenitais pelo virus do herpes [herpes simples],-,-,A60,S,-,-
A60.0,5,A60,Infeccao dos orgaos genitais e do trato geniturinario pelo virus do herpes,-,-,A600,S,-,-
A60.1,5,A60,Infeccao da margem cutanea do anus e do reto pelo virus do herpes,-,-,A601,S,-,-
A60.9,5,A60,Infeccao anogenital nao especificada pelo virus do herpes,-,-,A609,S,-,-
A63,5,A63,"Outras doencas de transmissao predominantemente sexual, nao classificadas em outra parte",-,-,A63,S,-,-
A63.0,5,A63,Verrugas anogenitais (venereas),-,-,A630,S,-,-
A63.8,5,A63,Outras doencas especificadas de transmissao predominantemente sexual,-,-,A638,S,-,-
A64,5,A64,"Doencas sexualmente transmitidas, nao especificadas",-,-,A64,S,-,-
A65,6,A65,Sifilis nao-venerea,-,-,A65,S,-,-
A66,6,A66,Bouba,-,-,A66,S,-,-
A66.0,6,A66,Lesoes iniciais da bouba,-,-,A660,S,-,-
A66.1,6,A66,Papilomas multiplos e bouba plantar umida (cravo de bouba),-,-,A661,S,-,-
A66.2,6,A66,Outras lesoes cutaneas precoces da bouba,-,-,A662,S,-,-
A66.3,6,A66,Hiperceratose devida a bouba,-,-,A663,S,-,-
A66.4,6,A66,Gomas e ulceras devidas a bouba,-,-,A664,S,-,-
A66.5,6,A66,Gangosa,-,-,A665,S,-,-
A66.6,6,A66,Lesoes osteoarticulares devidas a bouba,-,-,A666,S,-,-
A66.7,6,A66,Outras manifestacoes da bouba,-,-,A667,S,-,-
A66.8,6,A66,Bouba latente,-,-,A668,S,-,-
A66.9,6,A66,Bouba nao especificada,-,-,A669,S,-,-
A67,6,A67,Pinta [carate],-,-,A67,S,-,-
A67.0,6,A67,Lesoes primarias da pinta,-,-,A670,S,-,-
A67.1,6,A67,Lesoes intermediarias da pinta,-,-,A671,S,-,-
A67.2,6,A67,Lesoes tardias da pinta,-,-,A672,S,-,-
A67.3,6,A67,Lesoes mistas da pinta,-,-,A673,S,-,-
A67.9,6,A67,Pinta nao especificada,-,-,A679,S,-,-
A68,6,A68,Febres recorrentes [Borrelioses],-,-,A68,S,-,-
A68.0,6,A68,Febre recorrente transmitida por piolhos,-,-,A680,S,-,-
A68.1,6,A68,Febre recorrente transmitida por carrapatos,-,-,A681,S,-,-
A68.9,6,A68,Febre recorrente nao especificada,-,-,A689,S,-,-
A69,6,A69,Outras infeccoes por espiroquetas,-,-,A69,S,-,-
A69.0,6,A69,Estomatite ulcerativa necrotizante,-,-,A690,S,-,-
A69.1,6,A69,Outras infeccoes de Vincent,-,-,A691,S,-,-
A69.2,6,A69,Doenca de Lyme,-,-,A692,S,-,-
A69.8,6,A69,Outras infeccoes especificadas por espiroquetas,-,-,A698,S,-,-
A69.9,6,A69,"Infeccao por espiroqueta, nao especificada",-,-,A699,S,-,-
A70,7,A70,Infeccoes causadas por Clamidia psittaci,-,-,A70,S,-,-
A71,7,A71,Tracoma,-,-,A71,S,-,-
A71.0,7,A71,Fase inicial do tracoma,-,-,A710,S,-,-
A71.1,7,A71,Fase ativa do tracoma,-,-,A711,S,-,-
